German;5NOER227O, _Er, axre, ByteHamster, Ceekay, ceving, dadosch, datesastick, Delvo, DerSilly, elkangaroo, enz, Erc187, f_grubm, femmdi, finsterwalder, forght, hbilke, HolgerJeromin, JMAN, JoeMcFly, jokap, JoniArida, JonOfUs, kalei, keunes, Kostas_F, L.D.A., Macusercom, max.wittig, mfietz, Michael_Strecke, mkida, muellerma, petterbejo, pudeeh, Quiss42, repat, sadfgdf, Sargon_Isa, teamon, thetrash23, thiesrappen, timo.rohwedder, toaskoas, Tobiasff3200, tomte, Tonne11, ttick, tweimer, VfBFan, vrifox, Willhelm, ypid
Hebrew (he_IL);amir.dafnyman, E1i9, mongoose4004, pinkasey, rellieberman, Yaron
Hindi (hi_IN);Agyat009, keunes, purple.coder, siddhusengar, singhrishi245021, techiethakkar, thelazyoxymoron
Hu;hurrikan, keunes, lna91, lomapur, marthynw, mc.transifex, meskobalazs, naren93
Icelandic;keunes, marthjod
Indonesian;awmpawl, dbrw, justch, keunes, levirs565, liimee
Italian (it_IT);aalex70, allin, alvami, atilluF, Bonnee, datesastick, dontknowcris, giulia.iuppa, giuseppep, Guybrush88, ilmanzo, juanjom, keunes, lu.por, m.chinni, marco_pag, mat650, micael_27, mircocau, neonsoftware, niccord, salorock, theloca95
Japanese;ayiniho, giulia.iuppa, keunes, KotaKato, Naofumi, sh3llc4t, tko_cactus, TranslatorG, Xrodo
Kannada (kn_IN);chethanhs, chiraag.nataraj, deepu2, keunes, thejeshgn
Ko;changwoo, eshc123, keunes, libliboom, shinwookim
Latin;nivaca
Lithuanian;keunes, naglis, Sharper
Macedonian;krisfremen
Malayalam;joice, keunes, KiranS, rashivkp
Modern Greek (1453-);AnimaRain, antonist, Ioannis_D, keunes, Kostas_F, pavlosv, pcguy23
Norwegian Bokmål (nb_NO);abstrakct, ahysing, bablecopherye, corkie, forteller, Gauteweb, halibut, heraldo, jakobkg, Jamiera, keunes, kongk, sevenmaster, tc5, timbast, TrymSan, ttick
Persian;ahangarha, danialbehzadi, ebadi, ebraminio, F7D, hamidrezabayat76, K2latmanesh, keunes, khersi, sinamoghaddas
Polish (pl_PL);ad.szczepanski, befeleme, ewm, Gadzinisko, hiro2020, Iwangelion, kamila.miodek1991, keunes, lomapur, mandlus, maniexx, Mephistofeles, millup, portonus, Rakowy_Manaska, scooby250319888, shark103, TheName, tyle
Portuguese;emansije, jmelo461, keunes, lecalam, smarquespt, WalkerPt
Portuguese (pt_BR);alexupits, alysonborges, amalvarenga, andersonvom, aracnus, arua, bandreghetti, brasileiro, caioau, carlo_valente, castrors, denisdl, fnogcps, jmelo461, keunes, lipefire, mbaltar, olivoto, philosp, ricardo_ramos, rogervezaro, RubeensVinicius, SamWilliam, tepadilha, tschertel, ziul123
Romanian (ro_RO);AdrianMirica, eRadical, fuzzmz, keunes, mozartro, ralienpp
Russian (ru_RU);ashed, btimofeev, Duke_Raven, flexagoon, gammja, homocomputeris, IgorPolyakov, keunes, mercutiy, nachoman, null, overmind88, PtilopsisLeucotis, s.chebotar, tepxd, un_logic, Vladryyu, whereisthetea, yako
Slovak;ati3, jose1711, keunes, marulinko, McLenin666, real_name, tiborepcek
Slovenian (sl_SI);anzepintar, asovic, keunes, panter23, TheFireFighter, trus2
Spanish;3argueta3, 5NOER227O, AleksSyntek, andersonvom, andrespelaezp, arseru, Atreyu94, badlop, CaeM0R, carlos.levy, cartojo, deandreamatias, delthia, devarops, dvd1985, elojodepajaro, Fitoschido, frandavid100, hard_ware, Ioannis_D, javiercoll, keunes, kiekie, LatinSuD, leogrignafini, meanderingDot, nivaca, rafael.osuna, technozuzici, tres.14159, vfmatzkin, victorzequeida96, wakutiteo, ziul123
Swahili (macrolanguage);1silvester, keunes, kmtra
Swedish (sv_SE);aiix, bittin, bpnilsson, Evaluator5717, gustavkj, keunes, LinAGKar, nilso, TwoD, victorhggqvst
Tatar;seber
Telugu;keunes, veeven
Turkish;AhmedDuran, alianilkocak, alierdogan7, AliGaygisiz, androtuna, archixe, brsata, Erdy, firatsoygul, ibo90p, keunes, overbite, Piryus, samsamsamsam, sismantolga, Slsdem, TZVS
Ukrainian (uk_UA);amatra, balaraz, hishak, keunes, older, paul_sm, sergiyr, voinovich_vyacheslav, zhenya97
Uzbek;Usmon
Vietnamese;abnvolk, bruhwut, keunes, ppanhh
